[P_CODE_MAT]	[P_LENGTH]	[P_WIDTH]	[P_MINQ]	[P_GRAIN]	[P_IDESC]	[P_EDGE_MAT_UP]	[P_EGDE_MAT_LO]	[P_EDGE_MAT_SX]	[P_EDGE_MAT_DX]	[P_IIDESC]	[P_DESC1]
Material	Length	Width	Min Q.	GrainI	Description	Upper strip mat.	Lower strip mat.	Left strip mat.	Right strip mat.	II Description	Description 1
18MM 210*280	722	580	4	3-Material	4-1-Evye-Sol Yan	1					
18MM 210*280	722	580	4	3-Material	4-1-Evye-Sag Yan	1					
18MM 210*280	600	495	4	3-Material	4-1-Evye-Alt Tabla	1		1	1		
18MM 210*280	100	564	4	3-Material	4-1-Evye-Dikey Kayit 1			1			
18MM 210*280	100	564	4	3-Material	4-1-Evye-Dikey Kayit 2			1			
18MM 210*280	80	564	4	3-Material	4-1-Evye-Dikey Kayit 3				1		
18MM 210*280	722	580	4	3-Material	4-2-3.CKM-Sol Yan	1	1		1	13102016	
18MM 210*280	722	580	4	3-Material	4-2-3.CKM-Sag Yan	1	1		1	13102017	
18MM 210*280	600	580	4	3-Material	4-2-3.CKM-Alt Tabla	1	1	1	1		
18MM 210*280	564	100	4	3-Material	4-2-3.CKM-Yatay Bolme 1	1	1				
18MM 210*280	100	564	4	3-Material	4-2-3.CKM-Dikey Kayit 1			1	1		
18MM 210*280	490	200	4	3-Material	4-2-3.CKM-Cekmece Sol 1	1	1				
18MM 210*280	490	200	4	3-Material	4-2-3.CKM-Cekmece Sag 1	1	1				
18MM 210*280	518	185	4	3-Material	4-2-3.CKM-Cekmece On 1	1	1			13102033	
18MM 210*280	518	185	4	3-Material	4-2-3.CKM-Cekmece Arka 1	1	1			13102035	
18MM 210*280	490	110	4	3-Material	4-2-3.CKM-Cekmece Sol 2	1	1				
18MM 210*280	490	110	4	3-Material	4-2-3.CKM-Cekmece Sag 2	1	1				
18MM 210*280	518	95	4	3-Material	4-2-3.CKM-Cekmece On 2	1	1			13102045	
18MM 210*280	518	95	4	3-Material	4-2-3.CKM-Cekmece Arka 2	1	1			13102047	
18MM 210*280	490	110	4	3-Material	4-2-3.CKM-Cekmece Sol 3	1	1				
18MM 210*280	490	110	4	3-Material	4-2-3.CKM-Cekmece Sag 3	1	1				
18MM 210*280	518	95	4	3-Material	4-2-3.CKM-Cekmece On 3	1	1			13102057	
18MM 210*280	518	95	4	3-Material	4-2-3.CKM-Cekmece Arka 3	1	1			13102059	
18MM 210*280	722	580	8	3-Material	4-3-ANK.FRN-Sol Yan	1	1		1	13103064	
18MM 210*280	722	580	8	3-Material	4-3-ANK.FRN-Sag Yan	1	1		1	13103065	
18MM 210*280	600	580	8	3-Material	4-3-ANK.FRN-Alt Tabla	1	1	1	1		
18MM 210*280	564	580	8	3-Material	4-3-ANK.FRN-Yatay Bolme 1	1					
18MM 210*280	100	564	8	3-Material	4-3-ANK.FRN-Dikey Kayit 1			1	1		
18MM 210*280	500	65	8	3-Material	4-3-ANK.FRN-Cekmece Sol 1	1				13103075	
18MM 210*280	500	65	8	3-Material	4-3-ANK.FRN-Cekmece Sag 1	1				13103078	
18MM 210*280	502	65	8	3-Material	4-3-ANK.FRN-Cekmece On 1	1					
18MM 210*280	502	65	8	3-Material	4-3-ANK.FRN-Cekmece Arka 1	1					
18MM 210*280	720	330	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Sol Yan	1			1		
18MM 210*280	720	330	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Sag Yan	1			1		
18MM 210*280	564	330	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Ust Tabla	1					
18MM 210*280	564	330	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Alt Tabla	1					
18MM 210*280	564	320	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Raf 1	1					
18MM 210*280	564	320	4	3-Material	4 (2 Kapaklı)-4-2 Kapakli-Raf 2	1					
18MM 210*280	720	330	4	3-Material	4 (2 Kapaklı)-5-2 Kapakli-Sol Yan	1			1		
18MM 210*280	720	330	4	3-Material	4 (2 Kapaklı)-5-2 Kapakli-Sag Yan	1			1		
18MM 210*280	574	330	4	3-Material	4 (2 Kapaklı)-5-2 Kapakli-Ust Tabla	1					
18MM 210*280	574	330	4	3-Material	4 (2 Kapaklı)-5-2 Kapakli-Alt Tabla	1					
18MM 210*280	574	320	4	3-Material	4 (2 Kapaklı)-5-2 Kapakli-Raf 1	1					
